"Lower Frequency";"Upper Frequency";"RR Region 1 Allocation and RR footnotes applicable to CEPT";"RR Region 1 frequency range footnotes";"European Common Allocation and ECA footnotes";"ECA frequency range footnotes";"ECC/ERC harmonisation measure";"Applications";"Standard";"Notes"
"8300 Hz";"9 kHz";"METEOROLOGICAL AIDS(5.54A)";"5.54B";"METEOROLOGICAL AIDS(5.54A)";"";"";"Lightning detection systems";"";""
"9 kHz";"11.3 kHz";"METEOROLOGICAL AIDS(5.54A), RADIONAVIGATION";"";"METEOROLOGICAL AIDS(5.54A), RADIONAVIGATION";"";"ERC/REC 70-03";"Active medical implants";"EN 302 195";"Within the band 9-315 kHz"
"9 kHz";"11.3 kHz";"METEOROLOGICAL AIDS(5.54A), RADIONAVIGATION";"";"METEOROLOGICAL AIDS(5.54A), RADIONAVIGATION";"";"ERC/REC 70-03";"Inductive applications";"EN 300 330, EN 303 447, EN 303 454";"Within the band 9-148.5 kHz"
"9 kHz";"11.3 kHz";"METEOROLOGICAL AIDS(5.54A), RADIONAVIGATION";"";"METEOROLOGICAL AIDS(5.54A), RADIONAVIGATION";"";"";"Lightning detection systems";"";""
"11.3 kHz";"14 kHz";"RADIONAVIGATION";"";"RADIONAVIGATION";"";"ERC/REC 70-03";"Active medical implants";"EN 302 195";"Within the band 9-315 kHz"
"11.3 kHz";"14 kHz";"RADIONAVIGATION";"";"RADIONAVIGATION";"";"ERC/REC 70-03";"Inductive applications";"EN 300 330, EN 303 447, EN 303 454";"Within the band 9-148.5 kHz"
"14 kHz";"19.95 kHz";"FIXED, MARITIME MOBILE(5.57)";"5.55, 5.56";"FIXED, MARITIME MOBILE(5.57)";"5.56, ECA36";"ERC/REC 70-03";"Active medical implants";"EN 302 195";"Within the band 9-315 kHz"
"14 kHz";"19.95 kHz";"FIXED, MARITIME MOBILE(5.57)";"5.55, 5.56";"FIXED, MARITIME MOBILE(5.57)";"5.56, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330, EN 303 447, EN 303 454";"Within the band 9-148.5 kHz"
"14 kHz";"19.95 kHz";"FIXED, MARITIME MOBILE(5.57)";"5.55, 5.56";"FIXED, MARITIME MOBILE(5.57)";"5.56, ECA36";"";"Land military systems";"";""
"14 kHz";"19.95 kHz";"FIXED, MARITIME MOBILE(5.57)";"5.55, 5.56";"FIXED, MARITIME MOBILE(5.57)";"5.56, ECA36";"";"Maritime military systems";"";""
"19.95 kHz";"20.05 kHz";"STANDARD FREQUENCY AND TIME SIGNAL (20 KHZ)";"";"STANDARD FREQUENCY AND TIME SIGNAL (20 KHZ)";"";"ERC/REC 70-03";"Active medical implants";"EN 302 195";"Within the band 9-315 kHz"
"19.95 kHz";"20.05 kHz";"STANDARD FREQUENCY AND TIME SIGNAL (20 KHZ)";"";"STANDARD FREQUENCY AND TIME SIGNAL (20 KHZ)";"";"ERC/REC 70-03";"Inductive applications";"EN 300 330, EN 303 447, EN 303 454";"Within the band 9-148.5 kHz"
"20.05 kHz";"70 kHz";"FIXED, MARITIME MOBILE(5.57)";"5.56, 5.58";"FIXED, MARITIME MOBILE(5.57)";"5.56, ECA36";"ERC/REC 70-03";"Active medical implants";"EN 302 195";"Within the band 9-315 kHz"
"20.05 kHz";"70 kHz";"FIXED, MARITIME MOBILE(5.57)";"5.56, 5.58";"FIXED, MARITIME MOBILE(5.57)";"5.56, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330, EN 303 447, EN 303 454";"Within the band 9-148.5 kHz"
"20.05 kHz";"70 kHz";"FIXED, MARITIME MOBILE(5.57)";"5.56, 5.58";"FIXED, MARITIME MOBILE(5.57)";"5.56, ECA36";"";"Land military systems";"";""
"20.05 kHz";"70 kHz";"FIXED, MARITIME MOBILE(5.57)";"5.56, 5.58";"FIXED, MARITIME MOBILE(5.57)";"5.56, ECA36";"";"Maritime military systems";"";""
"70 kHz";"72 kHz";"RADIONAVIGATION(5.60)";"";"RADIONAVIGATION(5.60)";"ECA36";"ERC/REC 70-03";"Active medical implants";"EN 302 195";"Within the band 9-315 kHz"
"70 kHz";"72 kHz";"RADIONAVIGATION(5.60)";"";"RADIONAVIGATION(5.60)";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330, EN 303 447, EN 303 454";"Within the band 9-148.5 kHz"
"70 kHz";"72 kHz";"RADIONAVIGATION(5.60)";"";"RADIONAVIGATION(5.60)";"ECA36";"";"Land military systems";"";""
"70 kHz";"72 kHz";"RADIONAVIGATION(5.60)";"";"RADIONAVIGATION(5.60)";"ECA36";"";"Maritime military systems";"";""
"72 kHz";"84 kHz";"FIXED, MARITIME MOBILE(5.57), RADIONAVIGATION(5.60)";"5.56";"FIXED, MARITIME MOBILE(5.57), RADIONAVIGATION(5.60)";"5.56, ECA36";"ERC/REC 70-03";"Active medical implants";"EN 302 195";"Within the band 9-315 kHz"
"72 kHz";"84 kHz";"FIXED, MARITIME MOBILE(5.57), RADIONAVIGATION(5.60)";"5.56";"FIXED, MARITIME MOBILE(5.57), RADIONAVIGATION(5.60)";"5.56, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330, EN 303 447, EN 303 454";"Within the band 9-148.5 kHz"
"72 kHz";"84 kHz";"FIXED, MARITIME MOBILE(5.57), RADIONAVIGATION(5.60)";"5.56";"FIXED, MARITIME MOBILE(5.57), RADIONAVIGATION(5.60)";"5.56, ECA36";"";"Land military systems";"";""
"72 kHz";"84 kHz";"FIXED, MARITIME MOBILE(5.57), RADIONAVIGATION(5.60)";"5.56";"FIXED, MARITIME MOBILE(5.57), RADIONAVIGATION(5.60)";"5.56, ECA36";"";"Maritime military systems";"";""
"72 kHz";"84 kHz";"FIXED, MARITIME MOBILE(5.57), RADIONAVIGATION(5.60)";"5.56";"FIXED, MARITIME MOBILE(5.57), RADIONAVIGATION(5.60)";"5.56, ECA36";"";"Standard frequency and time signal";"";"77.5 kHz DCF time signal"
"84 kHz";"86 kHz";"RADIONAVIGATION(5.60)";"";"RADIONAVIGATION(5.60)";"ECA36";"ERC/REC 70-03";"Active medical implants";"EN 302 195";"Within the band 9-315 kHz"
"84 kHz";"86 kHz";"RADIONAVIGATION(5.60)";"";"RADIONAVIGATION(5.60)";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330, EN 303 447, EN 303 454";"Within the band 9-148.5 kHz"
"84 kHz";"86 kHz";"RADIONAVIGATION(5.60)";"";"RADIONAVIGATION(5.60)";"ECA36";"";"Land military systems";"";""
"84 kHz";"86 kHz";"RADIONAVIGATION(5.60)";"";"RADIONAVIGATION(5.60)";"ECA36";"";"Maritime military systems";"";""
"86 kHz";"90 kHz";"FIXED, MARITIME MOBILE(5.57), RADIONAVIGATION";"5.56";"FIXED, MARITIME MOBILE(5.57), RADIONAVIGATION";"5.56, ECA36";"ERC/REC 70-03";"Active medical implants";"EN 302 195";"Within the band 9-315 kHz"
"86 kHz";"90 kHz";"FIXED, MARITIME MOBILE(5.57), RADIONAVIGATION";"5.56";"FIXED, MARITIME MOBILE(5.57), RADIONAVIGATION";"5.56, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330, EN 303 447, EN 303 454";"Within the band 9-148.5 kHz"
"86 kHz";"90 kHz";"FIXED, MARITIME MOBILE(5.57), RADIONAVIGATION";"5.56";"FIXED, MARITIME MOBILE(5.57), RADIONAVIGATION";"5.56, ECA36";"";"Land military systems";"";""
"86 kHz";"90 kHz";"FIXED, MARITIME MOBILE(5.57), RADIONAVIGATION";"5.56";"FIXED, MARITIME MOBILE(5.57), RADIONAVIGATION";"5.56, ECA36";"";"Maritime military systems";"";""
"90 kHz";"110 kHz";"RADIONAVIGATION(5.62), Fixed";"5.64";"RADIONAVIGATION(5.62), Fixed";"5.64, ECA36";"ERC/REC 70-03";"Active medical implants";"EN 302 195";"Within the band 9-315 kHz"
"90 kHz";"110 kHz";"RADIONAVIGATION(5.62), Fixed";"5.64";"RADIONAVIGATION(5.62), Fixed";"5.64, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330, EN 303 447, EN 303 454";"Within the band 9-148.5 kHz"
"90 kHz";"110 kHz";"RADIONAVIGATION(5.62), Fixed";"5.64";"RADIONAVIGATION(5.62), Fixed";"5.64, ECA36";"";"Land military systems";"";""
"90 kHz";"110 kHz";"RADIONAVIGATION(5.62), Fixed";"5.64";"RADIONAVIGATION(5.62), Fixed";"5.64, ECA36";"";"Maritime military systems";"";""
"110 kHz";"112 kHz";"FIXED, MARITIME MOBILE, RADIONAVIGATION";"5.64";"FIXED, MARITIME MOBILE, RADIONAVIGATION";"5.64, ECA36";"ERC/REC 70-03";"Active medical implants";"EN 302 195";"Within the band 9-315 kHz"
"110 kHz";"112 kHz";"FIXED, MARITIME MOBILE, RADIONAVIGATION";"5.64";"FIXED, MARITIME MOBILE, RADIONAVIGATION";"5.64, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330, EN 303 447, EN 303 454";"Within the band 9-148.5 kHz"
"110 kHz";"112 kHz";"FIXED, MARITIME MOBILE, RADIONAVIGATION";"5.64";"FIXED, MARITIME MOBILE, RADIONAVIGATION";"5.64, ECA36";"";"Land military systems";"";""
"110 kHz";"112 kHz";"FIXED, MARITIME MOBILE, RADIONAVIGATION";"5.64";"FIXED, MARITIME MOBILE, RADIONAVIGATION";"5.64, ECA36";"";"Maritime military systems";"";""
"112 kHz";"115 kHz";"RADIONAVIGATION(5.60)";"";"RADIONAVIGATION(5.60)";"ECA36";"ERC/REC 70-03";"Active medical implants";"EN 302 195";"Within the band 9-315 kHz"
"112 kHz";"115 kHz";"RADIONAVIGATION(5.60)";"";"RADIONAVIGATION(5.60)";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330, EN 303 447, EN 303 454";"Within the band 9-148.5 kHz"
"112 kHz";"115 kHz";"RADIONAVIGATION(5.60)";"";"RADIONAVIGATION(5.60)";"ECA36";"";"Land military systems";"";""
"112 kHz";"115 kHz";"RADIONAVIGATION(5.60)";"";"RADIONAVIGATION(5.60)";"ECA36";"";"Maritime military systems";"";""
"115 kHz";"117.6 kHz";"RADIONAVIGATION(5.60), Fixed, Maritime Mobile";"5.64, 5.66";"RADIONAVIGATION(5.60), Fixed, Maritime Mobile";"5.64, ECA36";"ERC/REC 70-03";"Active medical implants";"EN 302 195";"Within the band 9-315 kHz"
"115 kHz";"117.6 kHz";"RADIONAVIGATION(5.60), Fixed, Maritime Mobile";"5.64, 5.66";"RADIONAVIGATION(5.60), Fixed, Maritime Mobile";"5.64, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330, EN 303 447, EN 303 454";"Within the band 9-148.5 kHz"
"115 kHz";"117.6 kHz";"RADIONAVIGATION(5.60), Fixed, Maritime Mobile";"5.64, 5.66";"RADIONAVIGATION(5.60), Fixed, Maritime Mobile";"5.64, ECA36";"";"Land military systems";"";""
"115 kHz";"117.6 kHz";"RADIONAVIGATION(5.60), Fixed, Maritime Mobile";"5.64, 5.66";"RADIONAVIGATION(5.60), Fixed, Maritime Mobile";"5.64, ECA36";"";"Maritime military systems";"";""
"117.6 kHz";"126 kHz";"FIXED, MARITIME MOBILE, RADIONAVIGATION(5.60)";"5.64";"FIXED, MARITIME MOBILE, RADIONAVIGATION(5.60)";"5.64, ECA36";"ERC/REC 70-03";"Active medical implants";"EN 302 195";"Within the band 9-315 kHz"
"117.6 kHz";"126 kHz";"FIXED, MARITIME MOBILE, RADIONAVIGATION(5.60)";"5.64";"FIXED, MARITIME MOBILE, RADIONAVIGATION(5.60)";"5.64, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330, EN 303 447, EN 303 454";"Within the band 9-148.5 kHz"
"117.6 kHz";"126 kHz";"FIXED, MARITIME MOBILE, RADIONAVIGATION(5.60)";"5.64";"FIXED, MARITIME MOBILE, RADIONAVIGATION(5.60)";"5.64, ECA36";"";"Land military systems";"";""
"117.6 kHz";"126 kHz";"FIXED, MARITIME MOBILE, RADIONAVIGATION(5.60)";"5.64";"FIXED, MARITIME MOBILE, RADIONAVIGATION(5.60)";"5.64, ECA36";"";"Maritime military systems";"";""
"126 kHz";"129 kHz";"RADIONAVIGATION(5.60)";"";"RADIONAVIGATION(5.60)";"ECA36";"ERC/REC 70-03";"Active medical implants";"EN 302 195";"Within the band 9-315 kHz"
"126 kHz";"129 kHz";"RADIONAVIGATION(5.60)";"";"RADIONAVIGATION(5.60)";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330, EN 303 447, EN 303 454";"Within the band 9-148.5 kHz"
"126 kHz";"129 kHz";"RADIONAVIGATION(5.60)";"";"RADIONAVIGATION(5.60)";"ECA36";"";"Land military systems";"";""
"126 kHz";"129 kHz";"RADIONAVIGATION(5.60)";"";"RADIONAVIGATION(5.60)";"ECA36";"";"Maritime military systems";"";""
"129 kHz";"130 kHz";"FIXED, MARITIME MOBILE, RADIONAVIGATION(5.60)";"5.64";"FIXED, MARITIME MOBILE, RADIONAVIGATION(5.60)";"5.64, ECA36";"ERC/REC 70-03";"Active medical implants";"EN 302 195";"Within the band 9-315 kHz"
"129 kHz";"130 kHz";"FIXED, MARITIME MOBILE, RADIONAVIGATION(5.60)";"5.64";"FIXED, MARITIME MOBILE, RADIONAVIGATION(5.60)";"5.64, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330, EN 303 447, EN 303 454";"Within the band 9-148.5 kHz"
"129 kHz";"130 kHz";"FIXED, MARITIME MOBILE, RADIONAVIGATION(5.60)";"5.64";"FIXED, MARITIME MOBILE, RADIONAVIGATION(5.60)";"5.64, ECA36";"";"Land military systems";"";""
"129 kHz";"130 kHz";"FIXED, MARITIME MOBILE, RADIONAVIGATION(5.60)";"5.64";"FIXED, MARITIME MOBILE, RADIONAVIGATION(5.60)";"5.64, ECA36";"";"Maritime military systems";"";""
"130 kHz";"135.7 kHz";"FIXED, MARITIME MOBILE";"5.64, 5.67";"FIXED, MARITIME MOBILE";"5.64, ECA36";"ERC/REC 70-03";"Active medical implants";"EN 302 195";"Within the band 9-315 kHz"
"130 kHz";"135.7 kHz";"FIXED, MARITIME MOBILE";"5.64, 5.67";"FIXED, MARITIME MOBILE";"5.64, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330, EN 303 447, EN 303 454";"Within the band 9-148.5 kHz"
"130 kHz";"135.7 kHz";"FIXED, MARITIME MOBILE";"5.64, 5.67";"FIXED, MARITIME MOBILE";"5.64, ECA36";"";"Land military systems";"";""
"130 kHz";"135.7 kHz";"FIXED, MARITIME MOBILE";"5.64, 5.67";"FIXED, MARITIME MOBILE";"5.64, ECA36";"";"Maritime military systems";"";""
"135.7 kHz";"137.8 kHz";"FIXED(5.64), MARITIME MOBILE, Amateur(5.67A)";"5.67B";"FIXED(5.64), MARITIME MOBILE, Amateur(5.67A)";"5.67B, ECA36";"ERC/REC 70-03";"Active medical implants";"EN 302 195";"Within the band 9-315 kHz"
"135.7 kHz";"137.8 kHz";"FIXED(5.64), MARITIME MOBILE, Amateur(5.67A)";"5.67B";"FIXED(5.64), MARITIME MOBILE, Amateur(5.67A)";"5.67B, ECA36";"";"Amateur";"EN 301 783";"Within the band 135.7-137.8 kHz"
"135.7 kHz";"137.8 kHz";"FIXED(5.64), MARITIME MOBILE, Amateur(5.67A)";"5.67B";"FIXED(5.64), MARITIME MOBILE, Amateur(5.67A)";"5.67B, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330, EN 303 447, EN 303 454";"Within the band 9-148.5 kHz"
"135.7 kHz";"137.8 kHz";"FIXED(5.64), MARITIME MOBILE, Amateur(5.67A)";"5.67B";"FIXED(5.64), MARITIME MOBILE, Amateur(5.67A)";"5.67B, ECA36";"";"Land military systems";"";""
"135.7 kHz";"137.8 kHz";"FIXED(5.64), MARITIME MOBILE, Amateur(5.67A)";"5.67B";"FIXED(5.64), MARITIME MOBILE, Amateur(5.67A)";"5.67B, ECA36";"";"Maritime military systems";"";""
"137.8 kHz";"148.5 kHz";"FIXED, MARITIME MOBILE";"5.64, 5.67";"FIXED, MARITIME MOBILE";"5.64, ECA36";"ERC/REC 70-03";"Active medical implants";"EN 302 195";"Within the band 9-315 kHz"
"137.8 kHz";"148.5 kHz";"FIXED, MARITIME MOBILE";"5.64, 5.67";"FIXED, MARITIME MOBILE";"5.64, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330, EN 303 447, EN 303 454";"Within the band 9-148.5 kHz"
"137.8 kHz";"148.5 kHz";"FIXED, MARITIME MOBILE";"5.64, 5.67";"FIXED, MARITIME MOBILE";"5.64, ECA36";"";"Land military systems";"";""
"137.8 kHz";"148.5 kHz";"FIXED, MARITIME MOBILE";"5.64, 5.67";"FIXED, MARITIME MOBILE";"5.64, ECA36";"";"Maritime military systems";"";""
"148.5 kHz";"255 kHz";"BROADCASTING";"5.68, 5.69, 5.70";"BROADCASTING";"";"ERC/REC 70-03";"Active medical implants";"EN 302 195";"Within the band 9-315 kHz"
"148.5 kHz";"255 kHz";"BROADCASTING";"5.68, 5.69, 5.70";"BROADCASTING";"";"";"Broadcasting";"EN 302 017, EN 302 245";"Frequency Assignment plan GE75. Digital systems to be introduced"
"148.5 kHz";"255 kHz";"BROADCASTING";"5.68, 5.69, 5.70";"BROADCASTING";"";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"255 kHz";"283.5 kHz";"AERONAUTICAL RADIONAVIGATION, BROADCASTING";"5.70";"AERONAUTICAL RADIONAVIGATION, BROADCASTING";"ECA36";"ERC/REC 70-03";"Active medical implants";"EN 302 195";"Within the band 9-315 kHz"
"255 kHz";"283.5 kHz";"AERONAUTICAL RADIONAVIGATION, BROADCASTING";"5.70";"AERONAUTICAL RADIONAVIGATION, BROADCASTING";"ECA36";"";"Aeronautical military systems";"";""
"255 kHz";"283.5 kHz";"AERONAUTICAL RADIONAVIGATION, BROADCASTING";"5.70";"AERONAUTICAL RADIONAVIGATION, BROADCASTING";"ECA36";"";"Beacons (aeronautical)";"";"Frequency Assignment plan GE85"
"255 kHz";"283.5 kHz";"AERONAUTICAL RADIONAVIGATION, BROADCASTING";"5.70";"AERONAUTICAL RADIONAVIGATION, BROADCASTING";"ECA36";"";"Broadcasting";"EN 302 017, EN 302 245";"Frequency Assignment plan GE75. Digital systems to be introduced"
"255 kHz";"283.5 kHz";"AERONAUTICAL RADIONAVIGATION, BROADCASTING";"5.70";"AERONAUTICAL RADIONAVIGATION, BROADCASTING";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"255 kHz";"283.5 kHz";"AERONAUTICAL RADIONAVIGATION, BROADCASTING";"5.70";"AERONAUTICAL RADIONAVIGATION, BROADCASTING";"ECA36";"";"Maritime military systems";"";""
"283.5 kHz";"315 kHz";"AERONAUTICAL RADIONAVIGATION, MARITIME RADIONAVIGATION (RADIOBEACONS)(5.73)";"5.74";"AERONAUTICAL RADIONAVIGATION, MARITIME RADIONAVIGATION (RADIOBEACONS)(5.73)";"5.74, ECA36";"ERC/REC 70-03";"Active medical implants";"EN 302 195";"Within the band 9-315 kHz"
"283.5 kHz";"315 kHz";"AERONAUTICAL RADIONAVIGATION, MARITIME RADIONAVIGATION (RADIOBEACONS)(5.73)";"5.74";"AERONAUTICAL RADIONAVIGATION, MARITIME RADIONAVIGATION (RADIOBEACONS)(5.73)";"5.74, ECA36";"";"Aeronautical military systems";"";""
"283.5 kHz";"315 kHz";"AERONAUTICAL RADIONAVIGATION, MARITIME RADIONAVIGATION (RADIOBEACONS)(5.73)";"5.74";"AERONAUTICAL RADIONAVIGATION, MARITIME RADIONAVIGATION (RADIOBEACONS)(5.73)";"5.74, ECA36";"";"Beacons (aeronautical)";"";"Frequency Assignment plan GE85"
"283.5 kHz";"315 kHz";"AERONAUTICAL RADIONAVIGATION, MARITIME RADIONAVIGATION (RADIOBEACONS)(5.73)";"5.74";"AERONAUTICAL RADIONAVIGATION, MARITIME RADIONAVIGATION (RADIOBEACONS)(5.73)";"5.74, ECA36";"";"Beacons (maritime)";"";"Frequency Assignment plan GE85"
"283.5 kHz";"315 kHz";"AERONAUTICAL RADIONAVIGATION, MARITIME RADIONAVIGATION (RADIOBEACONS)(5.73)";"5.74";"AERONAUTICAL RADIONAVIGATION, MARITIME RADIONAVIGATION (RADIOBEACONS)(5.73)";"5.74, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"283.5 kHz";"315 kHz";"AERONAUTICAL RADIONAVIGATION, MARITIME RADIONAVIGATION (RADIOBEACONS)(5.73)";"5.74";"AERONAUTICAL RADIONAVIGATION, MARITIME RADIONAVIGATION (RADIOBEACONS)(5.73)";"5.74, ECA36";"";"Maritime military systems";"";""
"315 kHz";"325 kHz";"AERONAUTICAL RADIONAVIGATION, Maritime Radionavigation (radiobeacons)(5.73)";"5.75";"AERONAUTICAL RADIONAVIGATION, Maritime Radionavigation (radiobeacons)(5.73)";"ECA36";"";"Aeronautical military systems";"";""
"315 kHz";"325 kHz";"AERONAUTICAL RADIONAVIGATION, Maritime Radionavigation (radiobeacons)(5.73)";"5.75";"AERONAUTICAL RADIONAVIGATION, Maritime Radionavigation (radiobeacons)(5.73)";"ECA36";"";"Beacons (aeronautical)";"";"Frequency Assignment plan GE85"
"315 kHz";"325 kHz";"AERONAUTICAL RADIONAVIGATION, Maritime Radionavigation (radiobeacons)(5.73)";"5.75";"AERONAUTICAL RADIONAVIGATION, Maritime Radionavigation (radiobeacons)(5.73)";"ECA36";"";"Beacons (maritime)";"";"Frequency Assignment plan GE85. IALA - plan to allow differential GPS"
"315 kHz";"325 kHz";"AERONAUTICAL RADIONAVIGATION, Maritime Radionavigation (radiobeacons)(5.73)";"5.75";"AERONAUTICAL RADIONAVIGATION, Maritime Radionavigation (radiobeacons)(5.73)";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"315 kHz";"325 kHz";"AERONAUTICAL RADIONAVIGATION, Maritime Radionavigation (radiobeacons)(5.73)";"5.75";"AERONAUTICAL RADIONAVIGATION, Maritime Radionavigation (radiobeacons)(5.73)";"ECA36";"";"Maritime military systems";"";""
"315 kHz";"325 kHz";"AERONAUTICAL RADIONAVIGATION, Maritime Radionavigation (radiobeacons)(5.73)";"5.75";"AERONAUTICAL RADIONAVIGATION, Maritime Radionavigation (radiobeacons)(5.73)";"ECA36";"ERC/REC 70-03";"ULP-AID";"EN 302 536";""
"325 kHz";"405 kHz";"AERONAUTICAL RADIONAVIGATION";"";"AERONAUTICAL RADIONAVIGATION";"ECA36";"";"Aeronautical military systems";"";""
"325 kHz";"405 kHz";"AERONAUTICAL RADIONAVIGATION";"";"AERONAUTICAL RADIONAVIGATION";"ECA36";"";"Beacons (aeronautical)";"";"Frequency Assignment plan GE85"
"325 kHz";"405 kHz";"AERONAUTICAL RADIONAVIGATION";"";"AERONAUTICAL RADIONAVIGATION";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz."
"325 kHz";"405 kHz";"AERONAUTICAL RADIONAVIGATION";"";"AERONAUTICAL RADIONAVIGATION";"ECA36";"ERC/REC 70-03";"RFID";"EN 300 330";"within frequency range 400-600 kHz"
"325 kHz";"405 kHz";"AERONAUTICAL RADIONAVIGATION";"";"AERONAUTICAL RADIONAVIGATION";"ECA36";"ERC/REC 70-03";"ULP-AID";"EN 302 536";""
"405 kHz";"415 kHz";"RADIONAVIGATION(5.76)";"";"RADIONAVIGATION(5.76)";"ECA36";"";"Aeronautical military systems";"";""
"405 kHz";"415 kHz";"RADIONAVIGATION(5.76)";"";"RADIONAVIGATION(5.76)";"ECA36";"";"Beacons (aeronautical)";"";"Frequency Assignment plan GE85"
"405 kHz";"415 kHz";"RADIONAVIGATION(5.76)";"";"RADIONAVIGATION(5.76)";"ECA36";"";"Beacons (maritime)";"";"Frequency Assignment plan GE85. IALA - plan to allow differential GPS"
"405 kHz";"415 kHz";"RADIONAVIGATION(5.76)";"";"RADIONAVIGATION(5.76)";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz. "
"405 kHz";"415 kHz";"RADIONAVIGATION(5.76)";"";"RADIONAVIGATION(5.76)";"ECA36";"";"Maritime military systems";"";""
"405 kHz";"415 kHz";"RADIONAVIGATION(5.76)";"";"RADIONAVIGATION(5.76)";"ECA36";"ERC/REC 70-03";"RFID";"EN 300 330";"within frequency range 400-600 kHz"
"405 kHz";"415 kHz";"RADIONAVIGATION(5.76)";"";"RADIONAVIGATION(5.76)";"ECA36";"ERC/REC 70-03";"ULP-AID";"EN 302 536";""
"415 kHz";"435 kHz";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79)";"";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79)";"ECA36";"";"Aeronautical military systems";"";""
"415 kHz";"435 kHz";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79)";"";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79)";"ECA36";"";"Beacons (aeronautical)";"";"Frequency Assignment plan GE85"
"415 kHz";"435 kHz";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79)";"";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79)";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz. "
"415 kHz";"435 kHz";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79)";"";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79)";"ECA36";"";"Maritime communications";"EN 300 338";"Frequency Assignment plan GE85"
"415 kHz";"435 kHz";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79)";"";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79)";"ECA36";"";"Maritime military systems";"";""
"415 kHz";"435 kHz";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79)";"";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79)";"ECA36";"ERC/REC 70-03";"RFID";"EN 300 330";"within frequency range 400-600 kHz"
"415 kHz";"435 kHz";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79)";"";"AERONAUTICAL RADIONAVIGATION, MARITIME MOBILE(5.79)";"ECA36";"ERC/REC 70-03";"ULP-AID";"EN 302 536";""
"435 kHz";"472 kHz";"MARITIME MOBILE(5.79), Aeronautical Radionavigation(5.77)";"5.82";"MARITIME MOBILE(5.79), Aeronautical Radionavigation";"5.82, ECA36";"";"Aeronautical military systems";"";""
"435 kHz";"472 kHz";"MARITIME MOBILE(5.79), Aeronautical Radionavigation(5.77)";"5.82";"MARITIME MOBILE(5.79), Aeronautical Radionavigation";"5.82, ECA36";"ERC/REC 70-03";"Emergency detection";"EN 300 330, EN 300 718";"442.2-450 kHz and 456.9-457.1 kHz"
"435 kHz";"472 kHz";"MARITIME MOBILE(5.79), Aeronautical Radionavigation(5.77)";"5.82";"MARITIME MOBILE(5.79), Aeronautical Radionavigation";"5.82, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz. "
"435 kHz";"472 kHz";"MARITIME MOBILE(5.79), Aeronautical Radionavigation(5.77)";"5.82";"MARITIME MOBILE(5.79), Aeronautical Radionavigation";"5.82, ECA36";"";"Maritime communications";"EN 300 338";"Frequency Assignment plan GE85"
